participant,trial,video_id,skill_level,tool,mAP50,mAP75,mAP50_95,precision,recall,f1,frames,method
P1,1,P1.1,expert,capsulorhexis forceps,0.8945,0.6284,0.5546,0.8945,0.8945,0.8945,218,SAM3_simultaneous
P1,1,P1.1,expert,cystotome needle,0.9044,0.3676,0.4331,0.9044,0.9044,0.9044,136,SAM3_simultaneous
P1,1,P1.1,expert,diamond keratome iso,1.0,0.4483,0.5517,1.0,1.0,1.0,29,SAM3_simultaneous
P1,1,P1.1,expert,diamond keratome straight,1.0,0.98,0.776,1.0,1.0,1.0,50,SAM3_simultaneous
P1,1,P1.1,expert,forceps,0.0987,0.0987,0.0822,0.0987,0.0987,0.0987,152,SAM3_simultaneous
P1,1,P1.1,expert,viscoelastic cannula,0.987,0.7662,0.6883,0.987,0.987,0.987,77,SAM3_simultaneous
P1,1,P1.1,expert,OVERALL,0.6737,0.4254,0.4007,0.5674,0.7372,0.6413,583,SAM3_simultaneous
P1,2,P1.2,expert,capsulorhexis forceps,0.8161,0.3046,0.3764,0.8161,0.8161,0.8161,174,SAM3_simultaneous
P1,2,P1.2,expert,cystotome needle,0.5093,0.0833,0.2,0.5093,0.5093,0.5093,108,SAM3_simultaneous
P1,2,P1.2,expert,diamond keratome iso,0.8889,0.4444,0.4444,0.8889,0.8889,0.8889,18,SAM3_simultaneous
P1,2,P1.2,expert,diamond keratome straight,0.825,0.35,0.38,0.825,0.825,0.825,40,SAM3_simultaneous
P1,2,P1.2,expert,forceps,0.5495,0.5405,0.3991,0.5495,0.5495,0.5495,111,SAM3_simultaneous
P1,2,P1.2,expert,viscoelastic cannula,0.8378,0.6486,0.5811,0.8378,0.8378,0.8378,37,SAM3_simultaneous
P1,2,P1.2,expert,OVERALL,0.6767,0.3151,0.3456,0.6426,0.6912,0.666,430,SAM3_simultaneous
P1,3,P1.3,expert,capsulorhexis forceps,0.0056,0.0056,0.0044,0.0056,0.0056,0.0056,180,SAM3_simultaneous
P1,3,P1.3,expert,cystotome needle,0.9606,0.8976,0.789,0.9606,0.9606,0.9606,127,SAM3_simultaneous
P1,3,P1.3,expert,diamond keratome iso,0.9524,0.7857,0.6786,0.9524,0.9524,0.9524,42,SAM3_simultaneous
P1,3,P1.3,expert,diamond keratome straight,0.9425,0.8161,0.769,0.9425,0.9425,0.9425,87,SAM3_simultaneous
P1,3,P1.3,expert,forceps,0.1049,0.0864,0.0852,0.1049,0.1049,0.1049,162,SAM3_simultaneous
P1,3,P1.3,expert,viscoelastic cannula,1.0,0.9024,0.8707,1.0,1.0,1.0,41,SAM3_simultaneous
P1,3,P1.3,expert,OVERALL,0.3716,0.3368,0.3037,0.4449,0.4734,0.4587,510,SAM3_simultaneous
P1,4,P1.4,expert,capsulorhexis forceps,0.0036,0.0036,0.0033,0.0036,0.0036,0.0036,275,SAM3_simultaneous
P1,4,P1.4,expert,cystotome needle,0.95,0.5667,0.525,0.95,0.95,0.95,60,SAM3_simultaneous
P1,4,P1.4,expert,diamond keratome iso,1.0,0.6857,0.62,1.0,1.0,1.0,35,SAM3_simultaneous
P1,4,P1.4,expert,diamond keratome straight,0.9608,0.549,0.5275,0.9608,0.9608,0.9608,51,SAM3_simultaneous
P1,4,P1.4,expert,forceps,0.9912,0.4159,0.4504,0.9912,0.9912,0.9912,113,SAM3_simultaneous
P1,4,P1.4,expert,viscoelastic cannula,0.95,0.65,0.6225,0.95,0.95,0.95,40,SAM3_simultaneous
P1,4,P1.4,expert,OVERALL,0.4201,0.2239,0.2236,0.4763,0.5087,0.492,488,SAM3_simultaneous
P1,5,P1.5,expert,capsulorhexis forceps,0.974,0.6979,0.6219,0.974,0.974,0.974,192,SAM3_simultaneous
P1,5,P1.5,expert,cystotome needle,0.899,0.4646,0.4667,0.899,0.899,0.899,99,SAM3_simultaneous
P1,5,P1.5,expert,diamond keratome iso,0.8868,0.4906,0.4792,0.8868,0.8868,0.8868,53,SAM3_simultaneous
P1,5,P1.5,expert,diamond keratome straight,0.8444,0.4889,0.4689,0.8444,0.8444,0.8444,45,SAM3_simultaneous
P1,5,P1.5,expert,forceps,0.4924,0.4545,0.3614,0.4924,0.4924,0.4924,132,SAM3_simultaneous
P1,5,P1.5,expert,viscoelastic cannula,1.0,0.9667,0.8467,1.0,1.0,1.0,30,SAM3_simultaneous
P1,5,P1.5,expert,OVERALL,0.8576,0.5949,0.5379,0.7849,0.8276,0.8057,453,SAM3_simultaneous
P2,1,P2.1,novice,capsulorhexis forceps,0.8046,0.5667,0.5569,0.8046,0.8046,0.8046,517,SAM3_simultaneous
P2,1,P2.1,novice,cystotome needle,0.9052,0.6209,0.5422,0.9052,0.9052,0.9052,211,SAM3_simultaneous
P2,1,P2.1,novice,diamond keratome iso,0.962,0.8354,0.6266,0.962,0.962,0.962,79,SAM3_simultaneous
P2,1,P2.1,novice,diamond keratome straight,0.2,0.2,0.14,0.2,0.2,0.2,5,SAM3_simultaneous
P2,1,P2.1,novice,forceps,0.7,0.24,0.292,0.7,0.7,0.7,50,SAM3_simultaneous
P2,1,P2.1,novice,viscoelastic cannula,0.1235,0.0123,0.0407,0.1235,0.1235,0.1235,162,SAM3_simultaneous
P2,1,P2.1,novice,OVERALL,0.75,0.5164,0.4825,0.3787,0.744,0.5019,1020,SAM3_simultaneous
P2,2,P2.2,novice,capsulorhexis forceps,0.4529,0.2786,0.2625,0.4529,0.4529,0.4529,499,SAM3_simultaneous
P2,2,P2.2,novice,cystotome needle,0.9779,0.7072,0.6011,0.9779,0.9779,0.9779,181,SAM3_simultaneous
P2,2,P2.2,novice,diamond keratome iso,0.7312,0.5054,0.4452,0.7312,0.7312,0.7312,93,SAM3_simultaneous
P2,2,P2.2,novice,diamond keratome straight,0.6744,0.0233,0.207,0.6744,0.6744,0.6744,43,SAM3_simultaneous
P2,2,P2.2,novice,forceps,0.0175,0.0175,0.0123,0.0175,0.0175,0.0175,57,SAM3_simultaneous
P2,2,P2.2,novice,viscoelastic cannula,0.7079,0.2697,0.3629,0.7079,0.7079,0.7079,89,SAM3_simultaneous
P2,2,P2.2,novice,OVERALL,0.5066,0.3148,0.2924,0.2855,0.6345,0.3938,910,SAM3_simultaneous
P2,3,P2.3,novice,capsulorhexis forceps,0.9953,0.8531,0.6948,0.9953,0.9953,0.9953,211,SAM3_simultaneous
P2,3,P2.3,novice,cystotome needle,0.9301,0.5753,0.5323,0.9301,0.9301,0.9301,186,SAM3_simultaneous
P2,3,P2.3,novice,diamond keratome iso,0.4545,0.303,0.2687,0.4545,0.4545,0.4545,99,SAM3_simultaneous
P2,3,P2.3,novice,diamond keratome straight,0.9231,0.0769,0.3846,0.9231,0.9231,0.9231,13,SAM3_simultaneous
P2,3,P2.3,novice,viscoelastic cannula,0.8,0.3636,0.4018,0.8,0.8,0.8,55,SAM3_simultaneous
P2,3,P2.3,novice,OVERALL,0.8564,0.5966,0.5285,0.5918,0.8688,0.704,564,SAM3_simultaneous
P2,4,P2.4,novice,capsulorhexis forceps,0.9648,0.7714,0.6633,0.9648,0.9648,0.9648,455,SAM3_simultaneous
P2,4,P2.4,novice,cystotome needle,0.9741,0.6379,0.5509,0.9741,0.9741,0.9741,116,SAM3_simultaneous
P2,4,P2.4,novice,diamond keratome iso,0.0448,0.0149,0.0209,0.0448,0.0448,0.0448,67,SAM3_simultaneous
P2,4,P2.4,novice,diamond keratome straight,0.0909,0.0909,0.0727,0.0909,0.0909,0.0909,11,SAM3_simultaneous
P2,4,P2.4,novice,forceps,0.9672,0.4918,0.5164,0.9672,0.9672,0.9672,61,SAM3_simultaneous
P2,4,P2.4,novice,viscoelastic cannula,0.625,0.15,0.2475,0.625,0.625,0.625,40,SAM3_simultaneous
