participant,trial,video_id,skill_level,tool,path_length,usage_time,num_detections,method
P1,1,P1.1,expert,capsulorhexis forceps,10510.17715968413,66.66666666666667,1000,SAM3_simultaneous
P1,1,P1.1,expert,cystotome needle,7465.910860743768,51.266666666666666,769,SAM3_simultaneous
P1,1,P1.1,expert,diamond keratome iso,506.16349652625814,6.333333333333333,95,SAM3_simultaneous
P1,1,P1.1,expert,diamond keratome straight,1187.879116417527,11.733333333333333,176,SAM3_simultaneous
P1,1,P1.1,expert,forceps,5297.678977209385,59.86666666666667,898,SAM3_simultaneous
P1,1,P1.1,expert,viscoelastic cannula,2294.536832214105,17.533333333333335,263,SAM3_simultaneous
P1,2,P1.2,expert,capsulorhexis forceps,6990.689667381235,41.2,618,SAM3_simultaneous
P1,2,P1.2,expert,cystotome needle,2449.316445990681,25.4,381,SAM3_simultaneous
P1,2,P1.2,expert,diamond keratome iso,258.3996330493278,4.133333333333334,62,SAM3_simultaneous
P1,2,P1.2,expert,diamond keratome straight,871.2077663056509,9.6,144,SAM3_simultaneous
P1,2,P1.2,expert,forceps,2397.657779151315,48.266666666666666,724,SAM3_simultaneous
P1,2,P1.2,expert,viscoelastic cannula,1197.7043194610299,9.2,138,SAM3_simultaneous
P1,3,P1.3,expert,capsulorhexis forceps,2137.5695642984315,44.266666666666666,664,SAM3_simultaneous
P1,3,P1.3,expert,cystotome needle,2621.2267314540422,26.266666666666666,394,SAM3_simultaneous
P1,3,P1.3,expert,diamond keratome iso,715.7165426160078,8.866666666666667,133,SAM3_simultaneous
P1,3,P1.3,expert,diamond keratome straight,3215.8583602878,19.2,288,SAM3_simultaneous
P1,3,P1.3,expert,forceps,10274.401282216932,50.2,753,SAM3_simultaneous
P1,3,P1.3,expert,viscoelastic cannula,1401.8984203682217,8.6,129,SAM3_simultaneous
P1,4,P1.4,expert,capsulorhexis forceps,2957.805565325128,62.46666666666667,937,SAM3_simultaneous
P1,4,P1.4,expert,cystotome needle,1072.1289919001724,13.333333333333334,200,SAM3_simultaneous
P1,4,P1.4,expert,diamond keratome iso,451.28297352674764,7.866666666666666,118,SAM3_simultaneous
P1,4,P1.4,expert,diamond keratome straight,1785.972496125392,13.066666666666666,196,SAM3_simultaneous
P1,4,P1.4,expert,forceps,7231.058120325702,36.0,540,SAM3_simultaneous
P1,4,P1.4,expert,viscoelastic cannula,1093.5308743039213,9.4,141,SAM3_simultaneous
P1,5,P1.5,expert,capsulorhexis forceps,6164.173490497281,44.13333333333333,662,SAM3_simultaneous
P1,5,P1.5,expert,cystotome needle,2805.4092430471833,21.933333333333334,329,SAM3_simultaneous
P1,5,P1.5,expert,diamond keratome iso,1266.0901373736758,12.0,180,SAM3_simultaneous
P1,5,P1.5,expert,diamond keratome straight,1672.0220955159998,11.066666666666666,166,SAM3_simultaneous
P1,5,P1.5,expert,forceps,5670.807163193121,44.733333333333334,671,SAM3_simultaneous
P1,5,P1.5,expert,viscoelastic cannula,1056.5179707031878,6.866666666666666,103,SAM3_simultaneous
P2,1,P2.1,novice,capsulorhexis forceps,18932.91405363879,192.06666666666666,2881,SAM3_simultaneous
P2,1,P2.1,novice,cystotome needle,12329.099426850202,116.26666666666667,1744,SAM3_simultaneous
P2,1,P2.1,novice,diamond keratome iso,2376.351789957291,17.466666666666665,262,SAM3_simultaneous
P2,1,P2.1,novice,diamond keratome straight,170.3862173397972,1.1333333333333333,17,SAM3_simultaneous
P2,1,P2.1,novice,forceps,3564.534406936611,60.13333333333333,902,SAM3_simultaneous
P2,1,P2.1,novice,viscoelastic cannula,9709.639560657937,208.86666666666667,3133,SAM3_simultaneous
P2,2,P2.2,novice,capsulorhexis forceps,25523.68243908157,175.53333333333333,2633,SAM3_simultaneous
P2,2,P2.2,novice,cystotome needle,8106.931456961986,55.46666666666667,832,SAM3_simultaneous
P2,2,P2.2,novice,diamond keratome iso,28351.913284942046,168.46666666666667,2527,SAM3_simultaneous
P2,2,P2.2,novice,diamond keratome straight,1842.0618296716932,11.333333333333334,170,SAM3_simultaneous
P2,2,P2.2,novice,forceps,6305.18617418967,64.86666666666666,973,SAM3_simultaneous
P2,2,P2.2,novice,viscoelastic cannula,9291.091127301743,169.66666666666666,2545,SAM3_simultaneous
P2,3,P2.3,novice,capsulorhexis forceps,9472.543487172086,66.2,993,SAM3_simultaneous
P2,3,P2.3,novice,cystotome needle,5156.30480199377,46.333333333333336,695,SAM3_simultaneous
P2,3,P2.3,novice,diamond keratome iso,10302.127308699311,92.93333333333334,1394,SAM3_simultaneous
P2,3,P2.3,novice,diamond keratome straight,375.8740292875808,3.0,45,SAM3_simultaneous
P2,3,P2.3,novice,forceps,0.0,0.0,0,SAM3_simultaneous
P2,3,P2.3,novice,viscoelastic cannula,1828.064715428787,13.6,204,SAM3_simultaneous
P2,4,P2.4,novice,capsulorhexis forceps,13531.64402627805,110.0,1650,SAM3_simultaneous
P2,4,P2.4,novice,cystotome needle,2682.4538593930884,26.066666666666666,391,SAM3_simultaneous
P2,4,P2.4,novice,diamond keratome iso,1229.7060257641667,16.333333333333332,245,SAM3_simultaneous
P2,4,P2.4,novice,diamond keratome straight,106.26140337837167,2.533333333333333,38,SAM3_simultaneous
P2,4,P2.4,novice,forceps,860.8502242727537,14.533333333333333,218,SAM3_simultaneous
P2,4,P2.4,novice,viscoelastic cannula,816.686870009526,9.666666666666666,145,SAM3_simultaneous
P2,5,P2.5,novice,capsulorhexis forceps,5228.746176719875,51.666666666666664,775,SAM3_simultaneous
P2,5,P2.5,novice,cystotome needle,3257.4314065022654,29.0,435,SAM3_simultaneous
P2,5,P2.5,novice,diamond keratome iso,2999.615433375144,15.933333333333334,239,SAM3_simultaneous
P2,5,P2.5,novice,diamond keratome straight,283.36962365186577,4.8,72,SAM3_simultaneous
P2,5,P2.5,novice,forceps,7858.837864202602,56.733333333333334,851,SAM3_simultaneous
P2,5,P2.5,novice,viscoelastic cannula,8294.423713259952,79.33333333333333,1190,SAM3_simultaneous
P3,1,P3.1,novice,capsulorhexis forceps,14633.472377082566,77.86666666666666,1168,SAM3_simultaneous
P3,1,P3.1,novice,cystotome needle,6998.921027359937,42.0,630,SAM3_simultaneous
P3,1,P3.1,novice,diamond keratome iso,3434.839198160966,22.666666666666668,340,SAM3_simultaneous
P3,1,P3.1,novice,diamond keratome straight,359.0832285970295,11.333333333333334,170,SAM3_simultaneous
P3,1,P3.1,novice,forceps,1586.5363975149182,11.6,174,SAM3_simultaneous
P3,1,P3.1,novice,viscoelastic cannula,722.5356824731674,11.2,168,SAM3_simultaneous
P3,2,P3.2,novice,capsulorhexis forceps,7734.896501713482,57.06666666666667,856,SAM3_simultaneous
P3,2,P3.2,novice,cystotome needle,5107.099950965565,45.93333333333333,689,SAM3_simultaneous
