method,tool,metric,criterion,spearman_rho,p_value,significant
SAM3_simultaneous,capsulorhexis forceps,path_length,(4),-0.057781270440128034,0.7838199000416238,False
SAM3_simultaneous,capsulorhexis forceps,path_length,(5),-0.3755338080994053,0.06432641565926822,False
SAM3_simultaneous,capsulorhexis forceps,path_length,(6),-0.46746762445841017,0.018461718999318803,True
SAM3_simultaneous,capsulorhexis forceps,path_length,(7),-0.5809748080009386,0.0023237426950777685,True
SAM3_simultaneous,capsulorhexis forceps,path_length,(14),-0.7106387759941715,6.868795224562274e-05,True
SAM3_simultaneous,capsulorhexis forceps,path_length,(15),-0.4905725094074283,0.012781550343825377,True
SAM3_simultaneous,capsulorhexis forceps,path_length,(16),-0.3438408989284533,0.0923853913175373,False
SAM3_simultaneous,capsulorhexis forceps,path_length,(17),-0.4348789876788852,0.02981762922964051,True
SAM3_simultaneous,capsulorhexis forceps,usage_time,(4),-0.09245003270420483,0.6602789385659686,False
SAM3_simultaneous,capsulorhexis forceps,usage_time,(5),-0.31749676502949725,0.12197428530674229,False
SAM3_simultaneous,capsulorhexis forceps,usage_time,(6),-0.4896149907610083,0.012984143912219219,True
SAM3_simultaneous,capsulorhexis forceps,usage_time,(7),-0.5322920159177575,0.006162172671618392,True
SAM3_simultaneous,capsulorhexis forceps,usage_time,(14),-0.6101907144020335,0.0011996706708128867,True
SAM3_simultaneous,capsulorhexis forceps,usage_time,(15),-0.3988691288234094,0.048258058564646655,True
SAM3_simultaneous,capsulorhexis forceps,usage_time,(16),-0.43285096080612123,0.03067696340399615,True
SAM3_simultaneous,capsulorhexis forceps,usage_time,(17),-0.5839685551547423,0.002177668030294706,True
SAM3_simultaneous,cystotome needle,path_length,(4),-0.28890635220064015,0.16131730964054208,False
SAM3_simultaneous,cystotome needle,path_length,(5),-0.3960174703593729,0.050032979483471386,False
SAM3_simultaneous,cystotome needle,path_length,(6),-0.5908600938585997,0.0018709100138854951,True
SAM3_simultaneous,cystotome needle,path_length,(7),-0.7165624190094679,5.59400131586746e-05,True
SAM3_simultaneous,cystotome needle,path_length,(14),-0.7581536267058053,1.1307893304947102e-05,True
SAM3_simultaneous,cystotome needle,path_length,(15),-0.6070276874057178,0.0012926510712346845,True
SAM3_simultaneous,cystotome needle,path_length,(16),-0.3555884197854044,0.08108062056430976,False
SAM3_simultaneous,cystotome needle,path_length,(17),-0.5278018482940315,0.006694756409330698,True
SAM3_simultaneous,cystotome needle,usage_time,(4),-0.4970145146915898,0.01148525264448707,True
SAM3_simultaneous,cystotome needle,usage_time,(5),-0.2492658311764621,0.22951756571423668,False
SAM3_simultaneous,cystotome needle,usage_time,(6),-0.6487262087570747,0.0004518445837265914,True
SAM3_simultaneous,cystotome needle,usage_time,(7),-0.5307847512264551,0.006336836159272742,True
SAM3_simultaneous,cystotome needle,usage_time,(14),-0.565702241597966,0.0032060116956040955,True
SAM3_simultaneous,cystotome needle,usage_time,(15),-0.30641314516979284,0.13629440181781624,False
SAM3_simultaneous,cystotome needle,usage_time,(16),-0.2734083573736112,0.1860290941782331,False
SAM3_simultaneous,cystotome needle,usage_time,(17),-0.40109090765071387,0.0469096831574077,True
SAM3_simultaneous,diamond keratome iso,path_length,(4),-0.2195688276724865,0.29161913755955604,False
SAM3_simultaneous,diamond keratome iso,path_length,(5),-0.047795211939924316,0.8205242985767393,False
SAM3_simultaneous,diamond keratome iso,path_length,(6),-0.3068992187645738,0.13564211029243267,False
SAM3_simultaneous,diamond keratome iso,path_length,(7),-0.03178463284769678,0.8801140893545378,False
SAM3_simultaneous,diamond keratome iso,path_length,(14),-0.16838596217105295,0.42105300643250276,False
SAM3_simultaneous,diamond keratome iso,path_length,(15),-0.013796083804675403,0.9478143081781317,False
SAM3_simultaneous,diamond keratome iso,path_length,(16),-0.2959471600501142,0.15089208414740407,False
SAM3_simultaneous,diamond keratome iso,path_length,(17),-0.3415431365721158,0.09472810517264757,False
SAM3_simultaneous,diamond keratome iso,usage_time,(4),-0.4046245478463584,0.04482623567332221,True
SAM3_simultaneous,diamond keratome iso,usage_time,(5),-0.22199173901355632,0.28619231719459215,False
SAM3_simultaneous,diamond keratome iso,usage_time,(6),-0.4395570208129324,0.027908901800378375,True
SAM3_simultaneous,diamond keratome iso,usage_time,(7),-0.31595618784293783,0.1238961205028598,False
SAM3_simultaneous,diamond keratome iso,usage_time,(14),-0.4111199324329412,0.04118692244709905,True
SAM3_simultaneous,diamond keratome iso,usage_time,(15),-0.1976846593319932,0.34353040231963733,False
SAM3_simultaneous,diamond keratome iso,usage_time,(16),-0.41493747383396856,0.03915947105177206,True
SAM3_simultaneous,diamond keratome iso,usage_time,(17),-0.4912346672980015,0.01264298063891986,True
SAM3_simultaneous,diamond keratome straight,path_length,(4),0.12711879496828168,0.5448344489665293,False
SAM3_simultaneous,diamond keratome straight,path_length,(5),-0.14338563581977296,0.49412008328779766,False
SAM3_simultaneous,diamond keratome straight,path_length,(6),0.2653729069472024,0.19981875201267116,False
SAM3_simultaneous,diamond keratome straight,path_length,(7),0.1794423575958578,0.39074028912795666,False
SAM3_simultaneous,diamond keratome straight,path_length,(14),-0.11170157886594603,0.5950149463651078,False
SAM3_simultaneous,diamond keratome straight,path_length,(15),-0.08318226999877816,0.6926181548810831,False
SAM3_simultaneous,diamond keratome straight,path_length,(16),-0.10346854908622313,0.6225912127253234,False
SAM3_simultaneous,diamond keratome straight,path_length,(17),0.269682791029736,0.19233852841475985,False
SAM3_simultaneous,diamond keratome straight,usage_time,(4),0.22543367665725683,0.2785932844450159,False
SAM3_simultaneous,diamond keratome straight,usage_time,(5),-0.09904246817527897,0.6376262219804891,False
SAM3_simultaneous,diamond keratome straight,usage_time,(6),0.13669392501428276,0.5146929179796211,False
SAM3_simultaneous,diamond keratome straight,usage_time,(7),0.12577873719862173,0.5491170348080964,False
