Video,(4) Corneal Entry,(5) Paracentesis and Viscoelastic Entry,(6) Capsulorrhexis: Commencement of Flap and Follow-Through,(7) Capsulorrhexis: Formation and Circular Completion,(14) Wound Neutrality and Minimizing Eye Rolling and Corneal Distortion,(15) Eye Positioned Centrally Within Microscope View,(16) Conjunctival and Corneal Tissue Handling,(17) Intraocular Spatial Awareness
P1_1,5,3,2.5,2.5,4,4,5,4.5
P1_2,4,5,4,4,4,3.5,5,5
P1_3,4,3,4,5,4.5,5,3.5,4
P1_4,5,5,4.5,5,5,5,4,4
P1_5,5,5,5,4.5,5,5,5,5
P2_1,4,3,2,2,4,4,4,3
P2_2,4,3,4,4.5,3,4,3.5,4
P2_3,4,5,2.5,4,4,2,4,4
P2_4,4,5,3.5,3.5,4,5,5,4
P2_5,4,5,3.5,4,5,4,5,4
P3_1,5,5,3.5,3.5,2.5,2,4,4
P3_2,5,5,4.5,5,4,5,5,5
P3_3,5,4,4,5,5,5,4.5,4
P3_4,5,5,5,5,5,5,5,5
P3_5,4,5,4,4,5,5,5,4
P4_1,4,5,3.5,4,4,3.5,5,4
P4_2,5,5,3.5,3,4,3,4,3
P4_3,5,5,5,4,4,3,5,4.5
P4_4,5,4,3,3,3,2,4,3
P4_5,5,5,5,5,5,4,5,4
P5_1,5,4,5,4,4,3,5,5
P5_2,5,5,4,5,5,5,5,5
P5_3,5,5,5,5,5,5,5,5
P5_4,5,5,5,5,5,5,5,5
P5_5,5,5,5,5,5,4,5,5
